X,Z,Accumulation_sb_m,Xsl,Zsl
2700000.0,-47.4995015946325,817.6050161810413,252.0,-0.4999675108701768
2700000.0,-47.00360589444287,817.6046035097114,252.0,-0.8731159548215233
2730000.0,-114.0142847733308,889.0750836528389,252.0,-0.43553122330081984
2780000.0,-94.80025287562137,992.3513752437835,252.0,-0.5115115020774432
2800000.0,-93.81076135475163,1041.3973287540641,252.0,-0.6302810971484584
2800000.0,-93.81093279007543,1069.0572202292483,252.0,-0.8072656249867924
2810000.0,-91.79303435672587,1085.6635180700955,251.0,-0.1228062203355226
2810000.0,-79.11448899914019,1123.0991813063831,251.0,-0.33057220146489935
2820000.0,-96.31057672340637,1145.365094369568,252.0,-0.30588452994500015
2820000.0,-94.54967636987337,1145.3646813638497,252.0,-0.3462094636170286
2820000.0,-86.69533472768057,1149.159673416402,252.0,-0.3962959273875059
2820000.0,-86.69077290097698,1149.1613142880597,252.0,-0.40727797021579576
2820000.0,-86.69021290211283,1149.1606593291124,252.0,-0.5648704750310798
2820000.0,-86.67255951674963,1149.1600045042173,252.0,-0.712983100815211
2820000.0,-86.62012047346319,1149.15934981134,252.0,-0.7178669691743764
2820000.0,-86.57874503166849,1149.158695249398,251.0,-0.015391930024659968
2810000.0,-58.78185551488061,1149.1580408195439,252.0,-0.8127962920120441
2810000.0,-58.78207762808201,1149.157386521699,251.0,-0.0919333549450026
2810000.0,-56.24447290894209,1159.1848487516309,252.0,-0.3891846611295524
2830000.0,-86.44622456613006,1225.1980265418845,252.0,-0.2365168252624168
2850000.0,-67.89994570945429,1309.956387213675,252.0,-0.10384843646737996
2870000.0,-64.16536943922517,1381.367711550723,252.0,-0.23280023552577933
2870000.0,-64.16592734270158,1381.367074918402,254.0,-0.42628641297002673
2880000.0,-87.08424123485801,1390.6187673862332,255.0,-0.5196482078490756
2900000.0,-104.34668270978669,1442.0541186327512,255.0,-0.6036523233393464
2910000.0,-106.23402709602952,1495.1881818807174,255.0,-0.6837552491955172
2920000.0,-99.79812667043535,1517.5246537568955,255.0,-0.1640620481600837
2920000.0,-99.31457266887557,1517.526118582442,256.0,-0.45811092399737896
2920000.0,-99.31448567850603,1517.5257035458362,256.0,-0.5234684209012691
2920000.0,-99.31439850014141,1517.5252885641098,257.0,-0.29432965542792855
2930000.0,-105.80381620940851,1529.7134621478217,260.0,-0.6604315383871138
2940000.0,-96.42525389227379,1547.5622964866457,261.0,-0.21057717774061244
2950000.0,-102.08000488057263,500.2658514944241,261.0,-0.030221907871205694
2960000.0,-96.47475111086241,1540.2144221331494,262.0,-0.09290926007531884
2990000.0,-119.08972779598477,552.4187320004979,262.0,-0.1174970511317626
3000000.0,-122.22992905606114,1663.6962982853358,262.0,-0.1387542007210849
3000000.0,-106.959354448671,576.3768586144228,267.0,-0.26098143024538334
3010000.0,-95.77730764193284,603.2703258746226,268.0,-0.19031000693898859
3020000.0,-109.94270140322115,610.3392623612131,268.0,-0.12616782401842164
3020000.0,-109.56417128025211,610.339074830263,268.0,-0.0044394429699243
3020000.0,-109.56363964717305,610.3388872083717,268.0,-0.009902017813699598
