X,Z,Accumulation_sb_m,Xsl,Zsl
2730000.0,-52.60033420943416,845.811181852411,268.0,-1.1523936050246033
2740000.0,-66.81269089211274,855.7706157353933,269.0,-2.749084162876287
2740000.0,-66.81243695491476,855.7703337592533,269.0,-2.749214883151751
2740000.0,-66.81218308653,855.770051877064,269.0,-2.749345600735462
2740000.0,-66.81192928781492,855.7697700899851,269.0,-2.749476315592894
2740000.0,-66.81167555865348,855.7694883978484,269.0,-2.74960702772756
2750000.0,-65.0273717294561,881.1774845096166,270.0,-1.5302827803945684
2750000.0,-52.27268778166792,1061.3677389314275,271.0,-3.333778589996895
2760000.0,-48.20402308384274,946.5130247046458,272.0,-2.9310979020919943
2760000.0,-48.204538074004766,946.5129182527337,272.0,-2.931190566119682
2770000.0,-50.37739079157082,971.3611844379834,272.0,-0.40439031171823336
2780000.0,-43.252261873780945,1012.5612373073409,274.0,-4.950042255783917
2790000.0,-51.46616027765502,1055.6563367749786,274.0,-0.86938999524294
2800000.0,-51.874005571544956,1091.0579295520315,275.0,-0.19504151208435339
2810000.0,-73.42027346034936,1108.5687963182427,276.0,-2.032475484743911
2810000.0,-72.13844361785583,1112.5296341311328,276.0,-1.8242552764131703
2810000.0,-69.30980147395401,1136.0126954477655,276.0,-1.0938422933349365
2810000.0,-63.49862550038908,1155.1519041244471,276.0,-0.7213026470227818
2830000.0,-84.72751207754563,1207.26870964845,277.0,-1.824081542017564
2850000.0,-83.74927680016836,1290.1048458884113,279.0,-0.05948490786532245
2860000.0,-91.43212062933709,1315.182390823399,280.0,-4.149094705194797
2860000.0,-90.23818056728759,1316.46534367839,280.0,-3.8441122489373227
2860000.0,-90.23827193794594,1318.6171482934137,280.0,-3.844317043444672
2870000.0,-97.67328390034697,1346.814007364093,280.0,-3.588370871192103
2870000.0,-83.88809609313962,1369.2536286072148,280.0,-1.2725411639366928
2880000.0,-118.26461657809793,1379.355645461317,280.0,-0.6465499857008453
2880000.0,-117.85944979795524,1383.5945627796827,280.0,-0.646619089866196
2880000.0,-117.4649459711923,1384.73994907271,280.0,-0.6466881847970518
2900000.0,-104.8459826440621,1456.2541134336439,281.0,-1.6725022739986457
2930000.0,-127.4300139478982,1508.0872644093333,283.0,-2.8576063997830654
2950000.0,-129.3563639768962,534.7935857516612,286.0,-2.8052836683908633
2950000.0,-117.26729308753231,544.7131628345325,286.0,-0.7682005216003074
2950000.0,-116.60864922290327,544.7130283301148,286.0,-0.766914304401381
2960000.0,-122.02174551686775,554.479007307704,287.0,-3.0750303976207527
2970000.0,-99.72304821176617,581.3802254150295,289.0,-6.676534778829576
2980000.0,-104.0049372944928,602.5287796740442,289.0,-0.5265465275984113
2990000.0,-115.71389953369186,617.9817529651317,291.0,-3.497887203234756
2990000.0,-106.52211133290696,629.0617204738218,291.0,-1.5757694342033544
3000000.0,-98.28350415856886,648.0998195154563,292.0,-3.7636237054238304
3010000.0,-112.4148169145991,658.2479978158105,292.0,-1.08731127803511
3010000.0,-112.41515170568162,658.2477235221979,292.0,-1.0872231517317708
