X,Y,Z,Flexure_m,Accumulation_m,Accumulation_max_m,Flexure_min_m,Flexure_mean_m,Flexure_max_m
2224903.13,685331.4229,0.0,-178.96708908073776,368.8335430468296,1784.145859678709,-577.9925832347262,-187.66210605939452,186.5858154004571
2338830.886,805207.5387,0.0,-441.5668556317985,841.1164843487641,1803.9227478885023,-762.584307812765,-428.52995053726244,-38.48694695979886
2176976.47,777027.8889,0.0,-124.38516636436788,288.8594602127844,1833.3757674077558,-502.9672787258873,-118.65557757285434,204.48057238490742
2114664.273,1092050.986,0.0,-16.724356965890472,-12.009831910375453,1881.3444598992023,-405.15680759949424,-38.60545494184315,212.74139800873422
2368687.9359999998,903828.9092,0.0,-521.4627972425526,982.1238842034362,1902.5113952842355,-826.0277100891437,-504.6458967633124,-131.3810686798084
2307112.3030000003,953941.2268,0.0,-410.8029839617317,792.0398248113468,1912.1006942269082,-736.1356168416422,-390.51692411834216,-25.601902394939746
2339332.269,912832.2271,0.0,-460.11919662323527,877.5798664910138,1977.2411874270906,-787.1685348338218,-447.08458074168203,-74.73207820155966
2213293.963,1053661.212,0.0,-215.5392397025431,441.3894683797192,2012.1404846908345,-586.0993930546932,-213.70207130662783,123.73431493618605
2213293.963,1053661.212,0.0,-216.6168819049819,446.59615020922854,2037.7224520306274,-592.2905445765543,-215.32746313490634,124.9480331091723
2303872.433,1108405.313,0.0,-378.69178121221995,725.7534735397545,2043.931037611304,-738.7992874766186,-378.93230039624905,1.560693768012493
2141266.858,1099519.971,0.0,-67.60974160532913,104.3032791902687,2050.949335697739,-468.51127800601654,-79.9465667982736,211.55750743116488
2222224.545,945571.5091,0.0,-240.84333830997403,485.6438223721856,2059.7241845146305,-619.2833608370237,-236.5843918822677,108.74877737303417
2206804.904,925187.7263,0.0,-224.20171332241875,458.1599849431816,2094.731138367598,-585.3156545435612,-205.87813360520735,138.25944136130207
2202361.002,1097252.746,0.0,-190.49440694618636,403.31441636929503,2132.9319646803456,-578.5219718864263,-193.82729447100326,158.4360956935008
2135306.4159999997,1032362.0079999999,0.0,-83.06599726154846,142.78799162830558,2153.260111517541,-461.6487983569167,-79.0929225778536,200.57324421240799
2135306.4159999997,1021170.3990000001,0.0,-92.53716889764931,192.39591386058504,2172.9661838817806,-464.4962965041283,-80.20286274017452,200.69993253599483
2152460.492,1000824.485,0.0,-111.85670417071894,269.3350742030149,2187.8585821268653,-504.77080033682626,-118.4569950650771,171.241028447531
2234238.252,961087.2608,0.0,-277.05696481358854,546.6653531257354,2212.5286728131223,-651.6697382273067,-271.98167973070207,85.56997848793979
2293629.983,1031143.015,0.0,-394.04350794608314,753.0785815577933,2238.370610311237,-753.0113720579285,-384.79599935895254,-5.578397019499572
2190000.457,1019005.958,0.0,-194.65971887390884,417.07104551015453,2258.3114822131492,-559.9338101474709,-186.55451601131534,142.44289668818672
2092243.5269999998,1031721.8670000001,0.0,0.1546557068777177,-19.651255843705158,2296.168952922904,-396.8554239401288,-13.725092574314218,232.91414664325444
2219292.123,1173439.393,0.0,-230.11097168047561,461.5489166195132,2301.2925245669826,-608.7958359527988,-220.54840658723205,169.30110091143814
2279884.124,1291170.4640000002,0.0,-324.0709572969871,618.5655232687487,2300.91611366784,-693.2577612017561,-312.7209210955073,119.47601383466308
2360571.042,1235986.008,0.0,-499.0982462706675,937.960738476597,2286.771191037901,-835.7622257543965,-485.90709625783694,-81.16165687801356
2466019.716,1196726.414,0.0,-699.060361038204,1331.0080568266762,2288.037025687665,-990.720765845134,-679.5189761408226,-325.21555198172564
2234126.723,1269188.514,0.0,-223.45169489423813,462.20260025626,2301.9250343221515,-626.4499719625794,-225.92482688300723,191.627267306489
2351522.045,1236494.1770000001,0.0,-481.7273372682242,909.5985777232423,2336.6715410358574,-832.8627439588312,-472.4767597221864,-55.68705311959203
2217985.454,1177319.575,0.0,-224.72610122444493,464.3209562236743,2375.741418111166,-609.1710203099371,-216.06133007582682,180.31005379034548
2295894.492,1296699.87,0.0,-373.2129560729142,711.964153862182,2396.29685637153,-734.575690968503,-350.1289738410629,94.40293256851473
2296820.445,1238502.11,0.0,-392.4750007956114,749.8416310469632,2396.649906343722,-745.1511769978082,-364.7552768267467,72.08294561679841
2405679.434,1054932.5590000001,0.0,-620.709606849996,1174.7788160888933,2415.188569910459,-950.0030030623813,-600.7922947189934,-227.68677313990895
2304206.617,1352250.175,0.0,-363.30346358062,698.1863203654476,2460.531122535485,-740.2143078849881,-352.12212115536954,103.9040745932436
2262459.163,1441084.3730000001,0.0,-250.67114591338125,504.02874423187535,2473.146123471182,-653.4817187993365,-239.1058358148855,225.67717492461583
2161733.548,961258.6374,0.0,-137.27641988562257,319.579557977141,2468.177840212995,-528.6361434445724,-133.13251697814508,188.88475156310133
2115563.695,1085405.361,0.0,-39.514856683114814,29.688279530340363,2470.2397600494173,-437.3850292396985,-40.64195502924132,262.09390022473264
2460175.87,1395075.416,0.0,-661.7177329733039,1248.1664081133547,2472.254931309168,-966.1954280819551,-645.1392477965408,-275.32580917329267
2414631.696,1320291.5259999998,0.0,-583.3976549528395,1105.6770487838814,2477.240730341492,-930.6122290016908,-582.4658941398403,-176.52564669816985
2538389.286,1397431.406,0.0,-797.593092509055,1539.2351766532754,2468.8633175618834,-1068.01635430666,-771.6178977637397,-430.74750667830136
2484705.864,1336776.153,0.0,-705.5542730857474,1348.9865848853672,2462.6160478543857,-1032.6214146929083,-705.58967307138,-328.5815474869003
2504911.5,1340823.307,0.0,-747.5018014194405,1430.3817040503595,2457.807055763168,-1068.129427828946,-742.6717419277462,-375.6703323950973
2599782.728,1341440.701,0.0,-919.6025664289039,1797.2660950528682,2508.3241478846594,-1177.7417426273764,-896.685283520427,-566.3375945579913
2550000.0,1350000.0,0.0,-834.3782037704502,1611.039664418736,2544.351188894326,-1135.7965589109513,-819.8424488094029,-465.5104925606978
2570000.0,1350000.0,0.0,-874.767444582381,1695.0959705206399,2565.304768911742,-1170.489215466324,-854.2927662658811,-503.3439668292888
