X,Z,Flexure_sb_m,Accumulation_sb_m,Xsl,Zsl,Flexure_sl_m
2430000.0,-103.64890016836041,52.81115188649125,-104.28397840757339,230.0,-2.881057040641419,-248.16300536862244
2430000.0,-118.89463995554142,54.230280402035135,-107.7564763868338,226.0,-0.8413614097047093,-219.80948141183018
2430000.0,-112.31840374449477,29.477203284631045,-17.568870116254722,228.0,-0.47904584246464593,-240.95252268984243
2440000.0,-118.2113716165123,61.23396996433451,-117.13991891553772,226.0,-1.5268942325027168,-222.2989743337803
2450000.0,-118.41467510049507,32.49533183528558,-21.38943018620225,228.0,-2.403332536687176,-248.41197464181522
2450000.0,-111.77035216639484,65.56902842438714,-123.10307231308302,229.0,-2.614857474791387,-256.4123374032004
2450000.0,-118.51082699013095,68.70528499857414,-138.30517044058516,227.0,-0.6344109902956839,-237.51962754267683
2470000.0,-134.49959912527297,71.4853978269818,-143.90249382389578,227.0,-1.094095125400641,-240.69729456124858
2480000.0,-129.16253855125805,74.11892836141404,-147.92342014711758,233.0,-1.2328757281083471,-319.60880604575704
2490000.0,-141.01404814783794,76.84694956079925,-151.71715673764555,225.0,-0.8912436043321224,-220.51611200015788
2490000.0,-143.4670774372447,43.02405943630781,-31.31491109201168,227.0,-0.826147145267397,-249.36851272739517
2500000.0,-143.12773589330538,45.14965122799172,-32.76301496958093,231.0,-1.4141869768757311,-306.67745750340794
2500000.0,-135.76276406106075,81.8761388155587,-155.73503336696908,233.0,-0.841263677776864,-331.22042695411966
2500000.0,-148.79629964296666,84.69510563521297,-162.35264601071853,231.0,-1.3411722663590284,-306.4491005654098
2510000.0,-168.6958228790119,48.20804406172929,-37.20027422390909,230.0,-2.2725033959199297,-302.94612047983605
2530000.0,-178.292638197173,49.91305572721027,-38.72167983668817,232.0,-0.6551543579921393,-323.99938633232586
2530000.0,-178.5927420197497,88.90208259575333,-158.14459934525277,232.0,-2.3727075970882683,-325.54375583385405
2540000.0,-202.99359384368935,91.69029079232229,-170.71846812430545,230.0,-1.0115473426578903,-301.6318874353681
2560000.0,-198.83542599718123,93.56294151693385,-168.73686209808423,232.0,-0.7786485394120404,-336.4189337467376
2560000.0,-196.9242973626281,86.53551606199713,-99.43850454228016,234.0,-0.6561314502241118,-359.47537895015967
2570000.0,-207.42509537726747,88.90918352614172,-102.36499917674499,233.0,-1.6062956758690672,-356.6293533871599
2590000.0,-227.70823375532726,91.20392999276567,-105.5879959039609,234.0,-1.814440756724881,-370.7923898776867
2600000.0,-226.84584202211158,102.510162076623,-189.4315005971732,233.0,-3.471218567040372,-366.7715639578779
2600000.0,-215.15870690792414,90.65740218241562,-105.71983110544897,235.0,-1.5297231959843578,-388.9519213947382
2600000.0,-206.69191163949435,101.99800138847678,-182.2064998300261,237.0,-3.906799244538993,-418.896757840579
2600000.0,-205.3089950844577,104.5741680953448,-208.8284722503306,237.0,-2.9992417085342846,-417.7045522152229
2600000.0,-198.05559889050815,106.99269315278022,-216.16723128195162,237.0,-1.3745111455019932,-415.8196838064227
2600000.0,-223.8237296995223,109.4797460941726,-222.17158767975846,234.0,-0.23228376619971158,-372.54864135713655
2600000.0,-211.55125177911387,99.55051599039511,-120.53978894676106,237.0,-2.8202333030168094,-418.66651929749776
2600000.0,-210.37156544141317,101.4245888943506,-122.80165904480538,237.0,-2.191908721045962,-417.65922805004465
2590000.0,-205.06245414240178,113.44655096623262,-209.43572710460418,236.0,-0.3299695767913467,-393.9900749418528
2600000.0,-216.91286604403913,115.59538032107947,-225.64227931729903,236.0,-0.43072923605232605,-394.05200389536066
2600000.0,-214.65511044640564,117.82116678418006,-235.51887421524637,236.0,-0.334435332991974,-393.3018664417996
2590000.0,-211.58463622427536,120.05821326601857,-240.39898489679214,236.0,-1.0730694244821257,-393.3618991377182
2600000.0,-218.64080291147013,122.16976915973653,-242.72887115154109,236.0,-0.0532235740414342,-391.6437255111556
2640000.0,-285.041623917811,124.1527526985945,-242.3653688643182,235.0,-2.1301936526647767,-386.07344724342715
2640000.0,-264.50648912000406,115.21579099004,-147.1841999384484,236.0,-0.8403401606372286,-393.92999968636144
2640000.0,-270.5462862486993,117.00219181906242,-150.47095849528193,235.0,-0.6904835481661228,-383.73883253260243
