X,Y,Accumulation_m,Accumulation_max_m
2171590,1081251,164.05576756103758,1145.7078570820381
2375235,1038682,495.61404125094793,1181.0065271677124
2492984,1000864,701.4102091038347,1224.0949304220162
2061577,1003624,-4.601065661574732,1261.908895751504
2300911,802374,336.95743919092286,1286.619803528246
2355601,846365,443.7150214786594,1314.5233936728014
2220889,868611,230.97264109449972,1340.7460618810837
2123566,962613,7.167034719735296,1370.118270608065
2461929,1308243,599.1822500384598,1408.6263282070274
2337420,1236206,402.13972586689806,1415.142767044228
2417632,1277417,527.8505769439048,1418.291855520259
2221252,1067204,242.39378122246183,1417.6441368117187
2166992,1007400,182.75975777737082,1427.2778361053518
2315252,1063695,398.1564348298363,1431.7808494676353
2125756,938334,12.735596241369638,1468.0958435380492
2177138,867112,177.67995571298778,1497.9064739691678
2191540,885323,194.75213390265353,1530.509324200804
2178504,1021826,194.90167657761094,1561.5085400137334
2117921,940096,-3.637079587862961,1609.5382018347634
2065661,867156,-92.78058635400433,1627.2084751089324
2131644,897901,-3.7273411833934813,1654.7751628047733
2226678,914051,264.07942449882063,1673.82932405386
2202870,844786,214.24755276993585,1693.7389602883588
2140690,865041,14.634950607999846,1698.2558832944032
2079499,903627,-66.30534575705498,1705.5047689144164
2233238,858907,263.7640996196375,1718.6796146576676
2301649,829420,362.2253983332219,1745.2573869988573
2377834,950438,505.14520366307414,1758.586547567513
2472951,868370,657.531739826092,1796.3509600778664
2311447,816133,381.0465651319601,1816.9230919169454
2384404,874398,499.6022970478745,1825.034451987269
2203152,804006,212.572864976059,1835.9530848969457
2291320,689098,331.299220473681,1847.261902700927
2262308,749467,293.1549460293756,1832.1478876553917
2356243,642400,441.8651170929227,1822.0942776693096
2226189,575667,211.33772221895936,1814.9657709485493
2237126,537791,224.3932564907406,1812.1904270800621
2162771,893372,170.29648794750042,1807.2531806011004
2107506,873758,-42.10702100426375,1800.358245547685
2461451,1023950,654.7411805511123,1857.4145999594248
2381616,979387,516.8516845419256,1882.9928188292238
2597061,1146069,898.7039565427393,1887.2597396585595
2488706,1099264,704.1886642434375,1912.5456192559432
2510996,1179609,723.9261576268555,1925.2770865510145
2639393,1070317,1007.8384832193807,1937.0581569917354
2759911,1152243,1257.7726296632031,1949.2422163034214
2848095,1257176,1437.9001919032444,1980.159261769687
