X,Y,Z,River_mouth_Lengh_m,Accumulation_m,Accumulation_max_m
2267956.6862727655,972102.7097620743,15.798529708098114,2557707.477114415,291.74662886274353,319.9760923052788
2267956.6862727655,972102.7097620743,13.53174265521157,2557707.477114415,290.1688651098821,341.06387221898126
2416229.9497994464,712546.0076939892,0.9254364211621473,2943124.439443155,493.6369776732234,344.22237088838233
2076801.4594574303,1004676.8022561908,20.070667633326355,2328281.247502776,-16.94904732575038,348.1860814564681
2201542.5460321233,1106165.6420043514,15.419115621183987,2508945.994154214,170.7758052074566,350.50726536326823
2394772.870581937,1097448.5773319593,7.297926587508611,2922699.527817068,470.2684175774686,356.3630356917442
2493533.013380972,1037439.7905298948,-14.765689901904892,2885276.331785552,650.9867111915541,358.26961945054495
2394772.870581937,1097448.5773319593,2.185224426025711,2746768.6842716867,465.8597759192527,365.8358645444867
2172049.2565473025,1085371.3536711552,22.39461733481642,1940052.2120478386,141.13060350563578,375.5989408029683
2482245.0126542356,1208378.2005384178,-5.10966940415747,2819011.8760464424,612.2884755995314,380.0357294013396
2478113.8619941487,1186698.6501523359,0.07201687904884455,2817094.042325777,619.9397517140741,382.8627179777226
2227427.6822117963,1100687.4106559048,16.720882629725203,2493493.350946864,217.28017837732847,391.31491209036125
2192706.1418729457,1079769.0921698583,19.87237276077423,2444067.56099308,167.76320862902355,397.715105464224
2599746.913365696,981737.9857399939,-11.827858952003417,2991682.455494996,877.4023052917892,452.68050749458536
2453015.0192912314,1096858.5377292202,8.290598663134999,2780511.8175488915,580.813568202877,493.70452456007035
2332344.9709927863,1129540.8961403675,11.82059725020273,2605390.629035974,367.01020624206575,513.7851647273192
2079134.35074898,1024624.9669721522,26.42535791774825,1818607.5439421285,-61.29566736529501,529.2464039613516
2436763.0206768783,1259270.879788369,4.517432557257298,2808741.344420176,537.1671554016724,546.2788804646957
2651964.2118785637,1313830.3335156387,-18.176703132947743,3117656.587242279,930.150894220625,566.2521252915066
2638459.114919512,1292483.5865738555,-19.921750059003227,3091823.9277330628,903.4436890192202,571.6068300078894
2721129.54746387,1228095.6928886448,-36.62635792505136,3217149.3520775707,1077.0033106391763,577.0084242348759
2309984.3741114,1228166.0031864357,12.393997050077003,3073629.393230919,319.5011516176185,596.2407436099596
2683077.8404171313,1275198.6866201907,-20.526232333376907,3132453.474088419,995.7990839580729,649.7020772008547
2689242.3412679723,1367693.2584452978,-27.618067771873775,3216836.575890422,999.4463897062409,661.7194973574027
2651997.2514336025,1221683.5334257667,-18.461244029583025,3091761.8160395846,942.2102906160566,673.5261283292817
2706878.4132206226,1394963.3129962732,-29.107309550586752,3269233.3148196014,1043.8625939115407,681.9709174175891
2617404.3521096576,1448032.2270195882,-27.941808440659035,3334300.885343113,834.0857073308911,700.1040921884903
2627495.043651611,1413333.511548636,-18.237048356738697,3307359.0738858017,866.7413928576517,712.3048370907549
2644713.830727412,1568323.290368374,-48.16197157378183,3541193.4690796207,845.0636977338888,716.1993295657942
2602979.064285446,1114212.4364999172,-2.309628734713043,3103926.1475467705,865.2305044487416,718.7805260833125
2737909.0683996896,1014312.4346611706,-36.802919533641116,3337915.7769592823,1155.5000886253126,726.7658734124644
2706548.311093722,1119838.2704521113,-19.311279931368823,3245731.1895426596,1089.3374108004843,773.6866731175638
