FID,Q,Area,B,L,R,T,I,Qs,Process,Structure_,MainClass,Shelf,MarginType,Fan_Area,Fan_Width,Fan_Depth,Fan_Volume,Fan_Length,Area_1,Q_1,PD_Q,Runoff,TSS,PD_TSS,SedYield,ASedConc,TDS,PD_TDS,DisYield,DisConc,Max_Elev,E_Length,S_Dist,Sed_Thick,Sed_Basin,River_S,C_Slope_S,C_Shelf_S,C_TopH,C_LowH,C_Length,C_Freq,C_Distance,C_ID,F_Depth,F_Length,F_Width,F_ID,F_Area,Slope_LowH,Slope_TopH,BoW,S_Basin_ID,10m_km,SP,Shelf_LowH,F_S,Slope_L,River_L
15348,15348,131.63190955299999,854094.8164999998,2.0062,2.0,7.554,8.909800000000002,1.0031,339.8799,T,Foreland,Arid,3,Passive,1100.0,960.0,4600.0,1000.0,1500.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12184.4663118,42637.9383233,2286.0,26.2738,1.86355,6.42094,11.21067,-43.0,-1232.0,122.85664000000001,1.0,45434.01107999999,1400,-4750.0,1416000.0,1525000.0,46,1366759.5763,-484.0,-120.0,Arabian Sea,31,31.56651,1724601.7969,-478.0,3.01271186441,56689.48,3412570.24
15349,15349,19.413596414100002,78061.53829999999,0.75,0.75,2.483,23.7849,1.0,18.6218,W,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3080.16956067,15409.553453500002,7966.0,12.04536,2.75218,28.82204,9.9938,-101.0,-2488.0,41.46011,1.0,40042.4563,1029,-5364.0,2800000.0,1360000.0,32,2545587.3928600005,-2395.0,-178.0,Bay of Bengal,322,60.9872,507118.72926000005,-154.0,1.06035714286,76920.3,853251.43
15350,15350,121.086148541,769436.3351,0.1,1.0,1.571,26.1872,1.0,9.5777,F,Passive Margin,Equatorial,3,Passive,0.0,0.0,0.0,0.0,0.0,760000,370.0,-9999,486.84,75.0,-9999,0.099,202.703,15.0,-9999,0.02,40.541,1100.0,251553.57460099997,266664.319582,4800.0,12.76613,0.52885,40.34872,0.43875,-86.0,-3289.0,97.48543,1.0,503580.39527,1161,-5086.0,662000.0,1182000.0,25,502347.54329,-2921.0,-129.0,South Atlantic Ocean,142,67.09555,1763647.43949,-117.0,3.2703927492400005,69196.75,2531916.64
15351,15351,43.5414071886,214255.84819999995,0.5,0.5,0.905,21.4287,1.0,8.6754,W,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,200000,150.0,-9999,750.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,880.0,10364.8157561,44545.318342,2944.0,0.59582,0.81464,43.40086,2.26735,-97.0,-3161.0,71.22396000000002,2.0,62133.4585,1073,-3096.0,163000.0,546000.0,16,26445.82341,-1235.0,-135.0,South Atlantic Ocean,202,62.93126,564776.50465,-101.0,11.417177914100002,25345.12,1071633.44
15353,15353,26.106054219,113039.741,0.15,1.5,4.235,17.7161,1.0,6.2412,F,Foreland,Arid,3,Passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,24121.549043000006,365312.445844,3801.0,13.9732,2.31814,14.68895,0.62412,-774.0,-3855.0,160.62087,1.0,432603.79265,237,-4352.0,108600.0,606000.0,4,10126.656630000003,-3388.0,-136.0,South Atlantic Ocean,42,23.44947,972976.90112,-228.0,8.876611418049999,221390.84,1421870.42
15355,15355,13.7480744753,50711.5581,0.3,1.0,1.072,12.5683,1.0,1.2307,W,Passive Margin,Warm Temperate,3,Passive,0.0,0.0,0.0,0.0,0.0,52000,22.0,-9999,423.08,0.17,-9999,0.003,7.727,1.1,-9999,0.021,50.0,1100.0,4872.2970197,152288.85962300003,4553.0,1.5588,1.19839,34.5384,1.56282,0.0,0.0,0.0,0.0,0.0,0,-3386.0,426000.0,654000.0,48,146371.50104,-2843.0,-238.0,Gulf of Mexico,392,90.35602,499071.80699000007,-238.0,1.27464788732,75423.28999999998,790562.67
15358,15358,16.997950096300002,66115.0448,0.5,0.5,0.73,21.978,1.0,2.9786,TF,Passive Margin,Equatorial,3,Passive,0.0,0.0,0.0,0.0,0.0,66000,57.0,-9999,863.64,1.4,-9999,0.021,24.561,1.6,-9999,0.024,28.07,-9999.0,25675.9013875,159969.30741499996,3052.0,0.0,1.23155,21.73797,0.90642,-1379.0,-4032.0,36.65375,1.0,239305.32864999995,105,-5086.0,662000.0,1182000.0,25,502347.54329,-3794.0,-146.0,North Atlantic Ocean,0,74.95357,410533.84657,-145.0,1.95166163142,167816.93,550607.7299999999
15359,15359,13.8711023112,51279.4464,1.0,0.5,1.059,21.4063,1.0,6.9601,F,Passive Margin,Equatorial,3,Passive,0.0,0.0,0.0,0.0,0.0,52000,36.0,-9999,692.31,20.0,-9999,0.385,555.556,1.2,-9999,0.023,33.333,-9999.0,22081.6261607,132335.999474,7939.0,10.6641,1.2861,27.42734,2.2065,-111.0,-1930.0,108.78447000000001,1.0,87838.66756,981,-5364.0,2800000.0,1360000.0,32,2545587.3928600005,-1635.0,-522.0,Bay of Bengal,31,51.61583,330193.9890499999,-292.0,1.33178571429,40579.95,803979.3499999999
15361,15361,15.656162784400001,59656.9807,2.0,1.0,0.565,24.2647,1.0,9.4273,W,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2302.15307073,26868.4774856,4357.0,11.39662,0.88324,61.20764,16.71103,-1468.0,-3337.0,83.05856,4.0,44209.82940000001,90,-4061.0,222000.0,875000.0,21,87350.21714,-2420.0,-549.0,Gulf of Guinea,245,88.38616,390618.11999,-449.0,7.39189189189,30568.08,617161.9400000002
15362,15362,73.31961222609999,410988.6311,0.05,0.5,0.894,25.3939,1.0,1.6532,F,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,400000,40.0,-9999,100.0,1.6,19,0.004,40.0,2.1,-9999,0.005,52.5,330.0,5670.394618520001,19625.145710099994,4039.0,1.14042,0.40401,57.53631,13.91072,-81.0,-3478.0,74.37898,1.0,22746.99429,1198,-4061.0,222000.0,875000.0,21,87350.21714,-2578.0,-273.0,Gulf of Guinea,245,82.79394999999998,842157.7013500001,-273.0,6.68018018018,40061.66,1886105.5
15363,15363,9.38825342921,31480.0646,0.5,0.5,1.441,22.8769,1.0,3.5132,FW,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31534.6506401,2268.0,0.86111,1.95966,44.93957,3.55165,0.0,0.0,0.0,0.0,0.0,0,-4159.0,97500.0,28000.0,11,1669.7146499999997,-3451.0,-256.0,South Atlantic Ocean,1643,30.37508,403764.26452,-112.0,7.261538461540001,71095.47,684610.1699999998
15364,15364,30.1182504301,135158.0086,1.5,1.5,1.187,22.2005,1.0,25.0561,WT,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,140000,67.0,-9999,478.57,16.0,61,0.114,238.806,8.1,-9999,0.058,120.896,440.0,26313.171156999993,57812.58754040001,8027.0,1.18528,1.02197,34.00668,4.4627,0.0,0.0,0.0,0.0,0.0,0,-5364.0,2800000.0,1360000.0,32,2545587.3928600005,-1313.0,-241.0,Bay of Bengal,31,62.98477,682893.4717,-258.0,1.4467857142899998,31523.22,1040150.3700000001
15365,15365,1.23820164922,2502.0376,1.0,0.5,2.182,22.649,1.0,1.5848,WF,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,2400,2.2,-9999,916.67,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,115.70785873,21928.348548200003,1516.0,0.0,17.00071,91.28027,27.17943,-292.0,-1628.0,10.07874,1.0,25441.99809,503,-5364.0,2800000.0,1360000.0,32,2545587.3928600005,-3655.0,-596.0,Bay of Bengal,0,44.83747,82066.3045,-596.0,0.610357142857,33512.17,125718.27
