,age_ka,sea_level_m
705,35250.000,44.898
706,35300.000,44.139
707,35350.000,42.102
708,35400.000,47.034
709,35450.000,41.807
710,35500.000,39.667
711,35550.000,37.990
712,35600.000,36.312
713,35650.000,34.635
714,35700.000,32.958
715,35750.000,31.281
716,35800.000,29.603
717,35850.000,27.926
718,35900.000,30.489
719,35950.000,34.543
720,36000.000,38.596
721,36050.000,42.649
722,36100.000,37.041
723,36150.000,32.100
724,36200.000,29.893
725,36250.000,27.857
726,36300.000,25.992
727,36350.000,24.266
728,36400.000,23.118
729,36450.000,22.995
730,36500.000,22.872
731,36550.000,22.749
732,36600.000,22.626
733,36650.000,22.503
734,36700.000,22.359
735,36750.000,22.103
736,36800.000,21.847
737,36850.000,21.983
738,36900.000,22.258
739,36950.000,22.533
740,37000.000,22.808
741,37050.000,21.420
742,37100.000,17.848
743,37150.000,22.004
744,37200.000,26.160
745,37250.000,30.316
746,37300.000,30.927
747,37350.000,27.376
748,37400.000,23.826
749,37450.000,20.275
750,37500.000,21.261
751,37550.000,32.829
752,37600.000,31.571
753,37650.000,28.848
754,37700.000,27.594
755,37750.000,26.568
756,37800.000,26.270
757,37850.000,25.972
758,37900.000,25.674
759,37950.000,25.375
760,38000.000,24.284
761,38050.000,22.619
762,38100.000,22.118
763,38150.000,27.730
764,38200.000,33.343
765,38250.000,35.353
766,38300.000,36.224
767,38350.000,35.278
768,38400.000,39.693
769,38450.000,22.067
770,38500.000,14.805
771,38550.000,27.687
772,38600.000,38.054
773,38650.000,34.736
774,38700.000,33.458
775,38750.000,37.562
776,38800.000,25.056
777,38850.000,37.976
778,38900.000,38.419
779,38950.000,35.742
780,39000.000,33.065
781,39050.000,31.577
782,39100.000,30.387
783,39150.000,25.945
784,39200.000,32.551
785,39250.000,38.287
786,39300.000,34.820
787,39350.000,38.985
788,39400.000,43.423
789,39450.000,43.432
790,39500.000,41.197
791,39550.000,38.961
792,39600.000,36.852
793,39650.000,36.715
794,39700.000,30.240
795,39750.000,34.096
796,39800.000,47.843
797,39850.000,56.599
798,39900.000,57.199
799,39950.000,57.090
800,40000.000,56.981
801,40050.000,56.871
802,40100.000,56.762
803,40150.000,56.652
804,40200.000,56.543
805,40250.000,56.433
806,40300.000,53.383
807,40350.000,59.008
808,40400.000,50.841
809,40450.000,52.880
810,40500.000,35.713
811,40550.000,23.919
812,40600.000,18.671
813,40650.000,17.583
814,40700.000,16.495
815,40750.000,10.204
816,40800.000,7.288
817,40850.000,9.967
818,40900.000,23.812
819,40950.000,21.465
820,41000.000,24.067
821,41050.000,17.230
822,41100.000,22.626
823,41150.000,14.286
824,41200.000,27.323
825,41250.000,31.577
826,41300.000,22.266
827,41350.000,29.895
828,41400.000,20.940
829,41450.000,20.664
830,41500.000,27.436
831,41550.000,29.870
832,41600.000,30.582
833,41650.000,29.140
834,41700.000,31.882
835,41750.000,35.411
836,41800.000,31.997
837,41850.000,34.749
838,41900.000,33.731
839,41950.000,37.712
840,42000.000,34.114
841,42050.000,25.803
842,42100.000,28.551
843,42150.000,36.716
844,42200.000,36.533
845,42250.000,43.084
846,42300.000,38.073
847,42350.000,34.706
848,42400.000,32.432
849,42450.000,32.522
850,42500.000,44.257
851,42550.000,42.847
852,42600.000,33.207
853,42650.000,25.514
854,42700.000,35.090
855,42750.000,29.294
856,42800.000,22.128
857,42850.000,18.561
858,42900.000,17.057
859,42950.000,28.741
860,43000.000,35.999
861,43050.000,34.759
862,43100.000,30.051
863,43150.000,29.496
864,43200.000,32.413
865,43250.000,37.555
866,43300.000,30.409
867,43350.000,23.410
868,43400.000,42.415
869,43450.000,27.458
870,43500.000,34.086
871,43550.000,16.015
872,43600.000,26.410
873,43650.000,33.982
874,43700.000,31.240
875,43750.000,32.243
876,43800.000,29.129
877,43850.000,34.070
878,43900.000,35.153
879,43950.000,40.692
880,44000.000,39.177
881,44050.000,34.328
882,44100.000,36.372
883,44150.000,29.068
884,44200.000,31.448
885,44250.000,30.491
886,44300.000,25.226
887,44350.000,27.249
888,44400.000,12.115
889,44450.000,43.854
890,44500.000,37.881
891,44550.000,36.040
892,44600.000,39.033
893,44650.000,35.623
894,44700.000,37.758
895,44750.000,48.167
896,44800.000,37.503
897,44850.000,29.769
898,44900.000,33.683
899,44950.000,34.723
900,45000.000,35.851
901,45050.000,23.724
902,45100.000,35.770
903,45150.000,42.297
904,45200.000,48.029
905,45250.000,42.205
906,45300.000,28.070
907,45350.000,26.409
908,45400.000,25.044
909,45450.000,23.777
910,45500.000,25.581
911,45550.000,38.877
912,45600.000,28.089
913,45650.000,30.800
914,45700.000,36.653
915,45750.000,33.239
916,45800.000,31.273
917,45850.000,39.115
918,45900.000,35.161
919,45950.000,30.839
920,46000.000,35.683
921,46050.000,28.522
922,46100.000,27.032
923,46150.000,32.785
924,46200.000,35.157
925,46250.000,36.098
926,46300.000,37.491
927,46350.000,37.751
928,46400.000,39.767
929,46450.000,39.802
930,46500.000,39.063
931,46550.000,38.675
932,46600.000,26.053
933,46650.000,51.762
934,46700.000,26.878
935,46750.000,67.960
936,46800.000,34.895
937,46850.000,24.266
938,46900.000,19.096
939,46950.000,52.380
940,47000.000,24.303
941,47050.000,47.203
942,47100.000,47.178
943,47150.000,39.996
944,47200.000,58.647
945,47250.000,46.000
946,47300.000,45.088
947,47350.000,36.707
948,47400.000,40.612
949,47450.000,45.848
950,47500.000,35.568
951,47550.000,53.530
952,47600.000,44.683
953,47650.000,39.542
954,47700.000,46.808
955,47750.000,38.543
956,47800.000,38.466
957,47850.000,48.948
958,47900.000,42.758
959,47950.000,47.304
960,48000.000,56.861
961,48050.000,56.623
962,48100.000,56.803
963,48150.000,48.842
964,48200.000,58.886
965,48250.000,60.910
966,48300.000,73.714
967,48350.000,71.705
968,48400.000,77.619
969,48450.000,59.815
970,48500.000,62.443
971,48550.000,65.569
972,48600.000,71.168
973,48650.000,65.694
974,48700.000,58.769
975,48750.000,66.015
976,48800.000,66.000
977,48850.000,62.704
978,48900.000,60.114
979,48950.000,31.240
980,49000.000,62.539
981,49050.000,44.866
982,49100.000,46.799
983,49150.000,28.670
984,49200.000,37.923
985,49250.000,72.057
986,49300.000,73.989
987,49350.000,57.123
988,49400.000,67.694
989,49450.000,78.051
990,49500.000,70.304
991,49550.000,88.161
992,49600.000,74.222
993,49650.000,80.984
994,49700.000,86.921
995,49750.000,74.208
996,49800.000,67.595
997,49850.000,69.393
998,49900.000,60.491
999,49950.000,23.006
1000,50000.000,67.813
1001,50050.000,54.482
1002,50100.000,59.319
1003,50150.000,55.969
1004,50200.000,40.091
1005,50250.000,47.722
1006,50300.000,44.184
1007,50350.000,39.575
1008,50400.000,39.690
1009,50450.000,32.192
1010,50500.000,51.159
1011,50550.000,30.800
1012,50600.000,47.724
1013,50650.000,50.479
1014,50700.000,39.141
1015,50750.000,59.707
1016,50800.000,43.804
1017,50850.000,31.584
1018,50900.000,52.219
1019,50950.000,67.087
1020,51000.000,63.348
1021,51050.000,59.945
1022,51100.000,55.133
1023,51150.000,55.513
1024,51200.000,67.801
1025,51250.000,72.525
1026,51300.000,79.240
1027,51350.000,28.436
1028,51400.000,69.173
1029,51450.000,67.958
1030,51500.000,32.799
1031,51550.000,55.842
1032,51600.000,72.264
1033,51650.000,73.420
1034,51700.000,62.987
1035,51750.000,75.625
1036,51800.000,66.889
1037,51850.000,63.176
1038,51900.000,52.805
1039,51950.000,64.244
1040,52000.000,34.907
1041,52050.000,40.313
1042,52100.000,40.939
1043,52150.000,44.460
1044,52200.000,35.370
1045,52250.000,48.520
1046,52300.000,38.635
1047,52350.000,52.308
1048,52400.000,40.876
1049,52450.000,28.159
1050,52500.000,45.864
1051,52550.000,29.421
1052,52600.000,18.745
